2026/06/18 21:44:43 backend listening on :8080
2026/06/18 21:46:24 GET / 404 0s
2026/06/18 21:47:24 OPTIONS /api/auth/forgot-password 204 0s
2026/06/18 21:47:24 POST /api/auth/forgot-password 200 85.3587ms
2026/06/18 21:47:43 OPTIONS /api/auth/login 204 0s
2026/06/18 21:47:43 POST /api/auth/login 200 4.1442ms
2026/06/18 21:47:43 OPTIONS /api/groups 204 0s
2026/06/18 21:47:43 OPTIONS /api/tasks 204 0s
2026/06/18 21:47:43 GET /api/groups 200 14.3036ms
2026/06/18 21:47:43 GET /api/tasks 200 57.7212ms
2026/06/18 21:48:10 OPTIONS /api/auth/me 204 0s
2026/06/18 21:48:10 GET /api/auth/me 200 1.6622ms
2026/06/18 21:48:13 OPTIONS /api/groups 204 0s
2026/06/18 21:48:13 OPTIONS /api/tasks 204 0s
2026/06/18 21:48:13 GET /api/groups 200 3.0963ms
2026/06/18 21:48:13 GET /api/tasks 200 4.448ms
2026/06/18 21:48:30 OPTIONS /api/auth/login 204 0s
2026/06/18 21:48:30 POST /api/auth/login 200 1.3365ms
2026/06/18 21:48:30 OPTIONS /api/groups 204 0s
2026/06/18 21:48:30 OPTIONS /api/tasks 204 0s
2026/06/18 21:48:30 GET /api/groups 200 1.86ms
2026/06/18 21:48:30 GET /api/tasks 200 5.7971ms
2026/06/18 21:48:35 OPTIONS /api/tasks/18 204 0s
2026/06/18 21:48:35 PUT /api/tasks/18 200 21.3321ms
2026/06/18 21:48:38 OPTIONS /api/tasks 204 0s
2026/06/18 21:48:38 GET /api/tasks 200 3.6151ms
2026/06/18 21:48:38 GET /api/tasks 200 4.3217ms
2026/06/18 21:48:43 OPTIONS /api/tasks 204 0s
2026/06/18 21:48:43 GET /api/tasks 200 3.8926ms
2026/06/18 21:48:44 GET /api/tasks 200 70.4932ms
2026/06/18 21:48:45 GET /api/tasks 200 3.6059ms
2026/06/18 21:48:46 OPTIONS /api/tasks 204 0s
2026/06/18 21:48:46 GET /api/tasks 200 3.0412ms
2026/06/18 21:48:49 GET /api/tasks 200 2.635ms
2026/06/18 21:48:50 GET /api/tasks 200 2.4572ms
2026/06/18 21:48:51 OPTIONS /api/tasks 204 0s
2026/06/18 21:48:51 GET /api/tasks 200 3.3581ms
2026/06/18 21:48:58 OPTIONS /api/tasks 204 0s
2026/06/18 21:48:58 GET /api/tasks 200 3.9948ms
2026/06/18 21:49:22 OPTIONS /api/auth/change-password 204 0s
2026/06/18 21:49:22 POST /api/auth/change-password 200 10.4682ms
2026/06/18 21:49:25 OPTIONS /api/groups 204 0s
2026/06/18 21:49:25 OPTIONS /api/tasks 204 0s
2026/06/18 21:49:25 GET /api/groups 200 1.8188ms
2026/06/18 21:49:25 GET /api/tasks 200 3.5451ms
2026/06/18 21:50:51 OPTIONS /api/auth/me 204 609.6µs
2026/06/18 21:50:51 GET /api/auth/me 200 1.0804ms
2026/06/18 21:50:51 OPTIONS /api/groups 204 0s
2026/06/18 21:50:51 OPTIONS /api/tasks 204 0s
2026/06/18 21:50:51 GET /api/groups 200 1.0582ms
